时间,上海,北京,广州,深圳,杭州,南京,武汉,西安,天津,成都,重庆
202205,113.6172380444758,119.28558499062255,127.28085526834556,114.1667086120846,125.49867304492528,114.70239226032795,131.8017586674167,162.03144701571284,106.35300101838492,141.63102594158337,138.7188570772058
202206,114.1853242346982,120.23986967054752,127.6626978341506,114.39504202930875,126.75365977537454,115.16120182936928,131.27455163274703,162.51754135675998,106.14029501634816,143.47222927882393,139.27373250551463
202207,114.75625085587168,120.84106901890026,128.04568592765304,114.16625194525017,127.64093539380218,115.50668543485736,131.01200252948155,163.49264660490053,105.50345324625006,144.90695157161218,139.8308274355367
202208,115.44478836100689,121.32443329497586,127.78959455579772,113.70958693746914,128.1514991353774,115.96871217659682,129.30884649659828,163.65613925150544,105.08143943326506,145.48657937789864,138.2926883337458
202209,115.6756779377289,121.5670821615658,127.40622577213033,113.1410390027818,128.66410513191894,115.50483732789044,128.1450668781289,162.83785855524792,104.87127655439852,146.50498543354394,138.70756639874702
202210,116.0227049715421,122.05335049021208,127.02400709481394,112.34905172976232,129.0500974473147,114.927313141251,127.37619647686012,162.34934497958218,104.55666272473532,146.94450038984456,137.87532100035455
202211,116.37077308645672,122.17540384070227,126.38888705933988,111.78730647111352,129.9534481294459,115.27209508067472,127.1214440839064,161.86229694464345,103.92932274838692,147.67922289179378,137.46169503735348
202212,116.83625617880256,122.41975464838367,125.8833315111025,111.45194455170018,130.3433084738342,115.15682298559406,126.9943226398225,162.02415924158808,103.2018174891482,148.41761900625275,136.7743865621667
202301,117.65410997205416,122.90943366697722,125.63156484808027,111.2290406625968,130.86468170772957,115.15682298559406,127.24831128510216,162.34820756007127,103.51142294161563,149.30812472029027,137.1847097218532
202302,117.88941819199827,123.1552525343112,126.00845954262454,111.451498743922,131.12641107114504,115.50229345455084,128.01180115281275,162.34820756007127,104.44302574809018,150.3532815933323,138.14500268990616
202303,118.3609758647663,123.52471829191413,126.2604764617098,111.89730473889767,131.38866389328734,116.0798049218236,129.6759545677993,162.99760039031156,105.2785699540749,151.40575456448562,139.3883077141153
202304,118.83441976822536,124.2658666016656,126.5129974146332,112.23299665311436,131.52005255718063,116.66020394643272,130.5836862497739,163.97558599265344,105.91024137379937,152.768406355566,140.36402586811414
202305,119.19092302753003,124.51439833486894,126.63951041204784,112.00853065980812,131.783092662295,116.31022333459345,130.84485362227346,164.63148833662407,106.12206185654696,153.53224838734386,140.22366184224603
202306,119.66768671964016,124.6389127332038,126.5128709016358,111.67250506782872,132.31022503294415,116.07760288792424,130.84485362227346,165.12538280163392,106.44042804211658,153.83931288411856,139.94321451856152
202307,119.90702209307943,125.1374683841366,126.25984515983252,111.00247003742172,132.31022503294415,115.96152528503632,130.7140087686512,165.9510097156421,106.22754718603234,154.1469915098868,140.3630441621172
202308,120.02692911517252,124.88719344736832,125.881065624353,110.3364552171972,132.4425352579771,115.49767918389618,130.06043872480797,166.6148137545047,105.8026369972882,154.60943248441646,140.50340720627932
202309,120.62706376074838,125.38674222115782,125.1257792306069,109.7847729411112,132.5749777932351,114.573697750425,129.67025740863355,167.28127300952275,105.5910317232936,154.9186513493853,140.78441402069188
202310,120.86831788826989,124.88519525227316,124.24989877599263,109.23584907640564,132.97270272661478,113.77168186617205,129.5405871512249,168.28496064757985,105.5910317232936,155.22848865208408,140.6436296066712
202311,121.5935277955995,124.7603100570209,123.1316496870087,108.3619622837944,133.50459353752126,112.63396504751032,128.8928842154688,168.62153056887502,106.01339585018678,155.69417411804034,140.36234234745783
202312,121.8367148511907,124.7603100570209,121.9003331901386,107.38670462324023,133.2375843504462,111.2823574669402,127.47506248909866,169.46463822171938,105.58934226678602,155.84986829215836,139.5201682933731
202401,122.32406171059549,124.63554974696387,120.9251305246175,106.63499769087755,132.83787159739487,110.7259456796055,126.71021211416408,169.8035674981628,105.6949316090528,155.84986829215836,139.65968846166646
202402,122.56870983401666,124.51091419721692,119.95772948042055,106.10182270242316,132.57219585420006,109.50796027712984,126.07666105359326,170.3129782006573,106.11771133548902,155.69401842386625,139.65968846166646
202403,123.18155338318677,124.51091419721692,119.1180253740576,105.67741541161344,132.57219585420006,108.19386475380428,125.06804776516452,170.99423011345996,105.79935820148256,155.53832440544235,140.07866752705146
202404,123.55109804333632,123.6393377978364,117.56949104419486,104.62064125749733,131.90933487492907,107.32831383577384,123.81736728751288,171.1652243435734,105.90515755968404,155.07170943222604,138.2576448491998
202405,124.29240463159633,122.2793050820602,115.92351816957613,103.78367612743732,131.1178788656795,106.14770238358032,121.96010677820018,170.99405911922986,105.48153692944528,153.98620746620043,136.322037821311
202406,124.78957425012273,121.54562925156785,114.53243595154122,103.05719039454527,130.72452522908247,104.87392995497736,120.61854560364,171.33604723746834,105.16509231865696,152.44634539153844,135.0951394809192
202407,125.03915339862296,120.93790110531,113.6161764639289,102.12967568099435,130.33235165339522,104.13981244529252,120.13607142122544,171.67871933194328,104.95476213401962,151.5316673191892,133.33890266766724
202408,125.7893883190147,120.33321159978348,113.04809558160925,101.3126382755464,130.20201930174184,104.4522318826284,119.17498284985564,171.67871933194328,104.32503356121552,149.71328731135895,132.80554705699657
202409,126.5441246489288,119.490879118585,112.03066272137475,100.29951189279092,129.42080718593138,104.4522318826284,117.62570807280753,170.64864701595164,103.07313315848091,148.51558101286807,132.0087137746546
202410,126.92375702287556,118.65444296475488,111.24644808232512,100.3998114046837,128.90312395718766,103.82551849133262,116.44945099207943,169.62475513385596,102.55776749268853,147.9215186888166,131.7446963471053
202411,127.6852995650128,118.06117074993112,110.91270873807817,100.70101083889774,130.06325207280236,103.92934400982396,116.91524879604778,169.28550562358825,102.8654407951666,148.66112628226068,132.1399304361466
202412,128.32372606283786,117.9431095791812,110.8017960293401,100.90241286057557,130.58350508109356,104.55292007388287,117.38290979123198,168.77764910671746,103.07117167675692,149.55309303995423,131.74351064483818
202501,129.09366841921488,117.47133714086448,110.8017960293401,101.1042176862967,130.97525559633684,105.28479051440009,117.96982434018814,168.10253851029057,103.3803851917872,150.59996469123394,132.27048468741754
202502,129.3518557560533,117.58880847800532,110.58019243728144,101.5086345570419,130.8442803407405,105.81121446697207,117.61591486716758,167.26202581773913,103.07024403621186,151.05176458530764,132.0059437180427
202503,130.25731874634567,117.35363086104933,110.46961224484416,101.61014319159897,131.4985017424442,105.91702568143904,117.73353078203472,166.92750176610363,103.3794547683205,151.8070234082342,132.26995560547877
202504,130.9086053400774,117.47098449191034,110.24867302035447,101.50853304840736,132.02449574941397,105.49335757871329,117.49806372047064,166.42671926080533,103.79297258739378,152.2624444784589,132.6667654722952
202505,131.82496557745796,117.00110055394268,109.36668363619164,101.10249891621372,133.08069171540927,105.28237086355584,116.67557727442735,165.7610123837621,103.2740077244568,152.41470692293734,132.00343164493373
202506,132.3522654397678,116.65009725228089,108.81985021801069,100.49588392271644,133.34685309884009,104.22954715492028,116.55890169715296,164.9322073218433,103.06745970900788,151.95746280216855,131.21141105506413
